tcp_syn_ratio,connection_noresponse,tcp_shakehands_total_count,tcp_segment_lost_packet,tcp_transaction_max_rtt,tcp_window_0,tcp_synack_packet,experts_label
1,0,0,550,2.26,0,0,
1,0,0,0,0,0,0,
1,0,0,943,27.26,0,1,
1,0,0,520,0,0,0,
1,0,0,0,0,0,0,
1,0,0,0,0,0,1,
1,0,0,313,0,0,1,
1,0,0,836,6130.29,0,1,
1,0,0,4567,3453,0,1,
1,0,0,5555,1,0,1,
1,0,0,744,5800.9,0,1,
1,0,0,70,0,0,1,
1,0,0,4567,2.26,0,1,
1,0,0,4924,324,0,1,
1,0,0,490,0,0,1,
1,0,0,4406,0,0,1,
0,0,0,4406,0,0,1,
1,0,0,0,1,0,1,
1,0,0,0,1,0,1,
1,0,1,5092,0,0,1,
,0,0,1667023,193.81,0,0,
0,0,0,3327016,82.56,0,1,
,0,0,28845,50.25,0,0,
,0,0,16266,5028.3,0,0,
